Year,State,City by state,Population,Crime Index,Modified Crime Index1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1
"2,002",CALIFORNIA,Hughson,"4,127",120,120,0,0,2,0,44,58,16,0
"2,002",CALIFORNIA,Huron,"6,538",350,359,0,1,15,40,70,194,30,9
"2,002",CALIFORNIA,Imperial,"7,838",113,117,0,0,1,4,50,58,0,4
"2,002",CALIFORNIA,Indian Wells,"3,956",172,172,0,1,2,1,61,98,9,0
"2,002",CALIFORNIA,Industry,806,"1,636","1,653",2,1,52,78,208,943,352,17
"2,002",CALIFORNIA,Ione,"7,391",82,82,0,1,1,14,19,45,2,0
"2,002",CALIFORNIA,Irwindale,"1,499",252,257,2,3,4,10,100,75,58,5
"2,002",CALIFORNIA,Jackson,"4,136",229,230,0,9,2,29,70,99,20,1
"2,002",CALIFORNIA,Kensington,"5,117",164,164,0,0,0,3,15,111,35,0
"2,002",CALIFORNIA,Kerman,"8,865",457,459,0,2,4,25,68,264,94,2
